date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2025-07-09,23892.3203125,24148.0703125,[],0,32,32,0.0,0.0,0.0,0.0,-8184.0,-8184.0,-8184.0,777333.1922265626,-0.010473267165425806,1020946.7607812501,-243613.56855468743,-23.861534990156503
2025-07-10,24028.369140625,23892.3203125,[],0,32,32,0.0,0.0,0.0,0.0,4353.5625,4353.5625,4353.5625,781686.7547265626,0.005585013617047625,1020946.7607812501,-239260.00605468743,-23.43511094267057
2025-07-11,24139.5703125,24028.369140625,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='218', tradeid='154', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=24033.119140625, volume=32, datetime=datetime.datetime(2025, 7, 11, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,32,0,769059.8125,0.0,0.0,-3406.4375,3558.4375,152.0,152.0,781838.7547265626,0.0001944323895707881,1020946.7607812501,-239108.00605468743,-23.420222801012358
2025-07-14,24203.3203125,24139.5703125,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='219', tradeid='155', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=24100.5703125, volume=32, datetime=datetime.datetime(2025, 7, 14, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,0,32,771218.25,0.0,0.0,3288.0,0.0,3288.0,3288.0,785126.7547265626,0.004196652454468379,1020946.7607812501,-235820.00605468743,-23.098168789353224
2025-07-15,24590.119140625,24203.3203125,[],0,32,32,0.0,0.0,0.0,0.0,12377.5625,12377.5625,12377.5625,797504.3172265626,0.015642072357959114,1020946.7607812501,-223442.44355468743,-21.885807579594506
2025-07-16,24517.759765625,24590.119140625,[],0,32,32,0.0,0.0,0.0,0.0,-2315.5,-2315.5,-2315.5,795188.8172265626,-0.0029076556949605547,1020946.7607812501,-225757.94355468743,-22.112606869131223
2025-07-17,24498.94921875,24517.759765625,[],0,32,32,0.0,0.0,0.0,0.0,-601.9375,-601.9375,-601.9375,794586.8797265626,-0.0007572609518668799,1020946.7607812501,-226359.88105468743,-22.171565624192986
2025-07-18,24825.66015625,24498.94921875,[],0,32,32,0.0,0.0,0.0,0.0,10454.75,10454.75,10454.75,805041.6297265626,0.013071658579729065,1020946.7607812501,-215905.13105468743,-21.147540630764354
2025-07-21,24994.140625,24825.66015625,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='220', tradeid='156', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=24991.140625, volume=32, datetime=datetime.datetime(2025, 7, 21, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,32,0,799716.5,0.0,0.0,-96.0,5391.375,5295.375,5295.375,810337.0047265626,0.006556226330005963,1020946.7607812501,-210609.75605468743,-20.628867649624
2025-07-22,25130.029296875,24994.140625,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='221', tradeid='157', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=24994.14, volume=32, datetime=datetime.datetime(2025, 7, 22, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,0,32,799812.48,0.0,0.0,4348.457500000019,0.0,4348.457500000019,4348.457500000019,814685.4622265627,0.005351886472611338,1020946.7607812501,-206261.2985546874,-20.202943628211514
2025-07-23,25538.0703125,25130.029296875,[],0,32,32,0.0,0.0,0.0,0.0,13057.3125,13057.3125,13057.3125,827742.7747265627,0.015900344747998514,1020946.7607812501,-193203.9860546874,-18.924002061267487
2025-07-24,25667.1796875,25538.0703125,[],0,32,32,0.0,0.0,0.0,0.0,4131.5,4131.5,4131.5,831874.2747265627,0.004978869717027172,1020946.7607812501,-189072.4860546874,-18.519328658235338
2025-07-25,25388.349609375,25667.1796875,[],0,32,32,0.0,0.0,0.0,0.0,-8922.5625,-8922.5625,-8922.5625,822951.7122265627,-0.01078379121111176,1020946.7607812501,-197995.0485546874,-19.393278490170967
2025-07-28,25562.130859375,25388.349609375,[],0,32,32,0.0,0.0,0.0,0.0,5561.0,5561.0,5561.0,828512.7122265627,0.0067346543300224595,1020946.7607812501,-192434.0485546874,-18.848587991741393
2025-07-29,25524.44921875,25562.130859375,[],0,32,32,0.0,0.0,0.0,0.0,-1205.8125,-1205.8125,-1205.8125,827306.8997265627,-0.0014564541988134243,1020946.7607812501,-193639.8610546874,-18.966695276696903
2025-07-30,25176.9296875,25524.44921875,[],0,32,32,0.0,0.0,0.0,0.0,-11120.625,-11120.625,-11120.625,816186.2747265627,-0.013533119451361738,1020946.7607812501,-204760.4860546874,-20.05594159464303
2025-07-31,24773.330078125,25176.9296875,[],0,32,32,0.0,0.0,0.0,0.0,-12915.1875,-12915.1875,-12915.1875,803271.0872265627,-0.015950356729584742,1020946.7607812501,-217675.6735546874,-21.32096225939513
2025-08-01,24507.810546875,24773.330078125,[],0,32,32,0.0,0.0,0.0,0.0,-8496.625,-8496.625,-8496.625,794774.4622265627,-0.010633870941573463,1020946.7607812501,-226172.2985546874,-22.1531922371364
2025-08-04,24733.44921875,24507.810546875,[],0,32,32,0.0,0.0,0.0,0.0,7220.4375,7220.4375,7220.4375,801994.8997265627,0.00904386931039994,1020946.7607812501,-218951.8610546874,-21.445962655990094
2025-08-05,24902.529296875,24733.44921875,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='223', tradeid='158', direction=<Direction.SHORT: '空'>, offset=<Offset.CLOSE: '平'>, price=24746.810546875, volume=32, datetime=datetime.datetime(2025, 8, 5, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,32,0,791897.9375,0.0,0.0,-4983.0,5410.5625,427.5625,427.5625,802422.4622265627,0.0005329816546002025,1020946.7607812501,-218524.2985546874,-21.40408363580761
2025-08-06,24910.630859375,24902.529296875,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='HSI', exchange=<Exchange.SEHK: 'SEHK'>, orderid='224', tradeid='159', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=24864.150390625, volume=32, datetime=datetime.datetime(2025, 8, 6, 8, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Hong_Kong')))]",1,0,32,795652.8125,0.0,0.0,1487.375,0.0,1487.375,1487.375,803909.8372265627,0.001851890079761537,1020946.7607812501,-217036.9235546874,-21.258397782525524
2025-08-07,25081.630859375,24910.630859375,[],0,32,32,0.0,0.0,0.0,0.0,5472.0,5472.0,5472.0,809381.8372265627,0.0067836722533663515,1020946.7607812501,-211564.9235546874,-20.722424682830027
2025-08-08,24858.8203125,25081.630859375,[],0,32,32,0.0,0.0,0.0,0.0,-7129.9375,-7129.9375,-7129.9375,802251.8997265627,-0.008848144405461672,1020946.7607812501,-218694.8610546874,-21.420789942791675
2025-08-11,24906.810546875,24858.8203125,[],0,32,32,0.0,0.0,0.0,0.0,1535.6875,1535.6875,1535.6875,803787.5872265627,0.0019123912961130465,1020946.7607812501,-217159.1735546874,-21.270371962247335
2025-08-12,24969.6796875,24906.810546875,[],0,32,32,0.0,0.0,0.0,0.0,2011.8125,2011.8125,2011.8125,805799.3997265627,0.0024997885345108464,1020946.7607812501,-215147.3610546874,-21.073318347183168
